doc_id,avg_rr,num_gold,doc_length_words
val_v00029,1.0,2,799
val_v00010,0.32,1,877
val_v00002,1.0,2,880
val_v00015,0.5166666666666666,2,1047
val_v00035,0.35666666666666663,5,949
val_v00004,0.0,1,889
val_v00038,0.0,4,891
val_v00001,0.5,5,828
val_v00030,1.0,1,976
val_v00028,0.5,1,944
val_v00003,0.18151515151515155,4,924
val_v00005,0.4604040404040404,1,1075
val_v00025,0.22666666666666666,2,1035
val_v00040,1.0,3,841
val_v00011,0.9,2,925
val_v00019,1.0,4,733
val_v00037,1.0,2,878
val_v00012,0.12676470588235295,3,773
val_v00031,0.0,2,976
val_v00026,1.0,2,943
val_v00039,0.39,5,774
val_v00023,0.15898692810457518,5,769
val_v00036,0.1235858585858586,5,876
val_v00018,0.35,4,801
val_v00014,1.0,4,934
val_v00022,0.8666666666666668,2,899
val_v00021,0.06346153846153846,3,907
val_v00032,0.21523809523809523,5,820
val_v00007,1.0,4,904
val_v00016,0.7333333333333334,4,1035
val_v00020,1.0,5,907
val_v00008,0.8666666666666666,3,822
val_v00024,0.2583333333333333,2,1000
val_v00034,0.49000000000000005,5,1010
val_v00009,0.6785714285714286,1,717
val_v00006,0.7333333333333334,3,912
val_v00017,0.7285714285714285,3,898
val_v00027,0.2276190476190476,1,808
val_v00042,0.29666666666666663,5,816
val_v00013,1.0,3,926
val_v00043,1.0,5,831
val_v00033,0.0,5,810
val_v00063,0.0,4,799
val_v00054,0.1821428571428571,1,959
val_v00066,0.6166666666666667,1,939
val_v00051,0.4166666666666667,3,984
val_v00055,0.37333333333333335,4,1047
val_v00061,0.0,1,937
val_v00050,0.55,3,909
val_v00057,0.08472222222222223,2,887
val_v00045,0.0,2,1025
val_v00053,0.0,1,918
val_v00049,1.0,5,791
val_v00044,0.8666666666666668,5,996
val_v00041,0.0,3,880
val_v00052,0.9,3,864
val_v00046,1.0,4,877
val_v00062,0.0,2,797
val_v00056,0.0,2,877
val_v00064,0.8,4,1024
val_v00068,0.0,4,903
val_v00048,0.6333333333333334,5,894
val_v00047,0.54,4,848
val_v00060,0.31746031746031744,4,877
