,MRR,Recall@5,Recall@10,NDCG@10
Standard RAG (n=100),0.5228651903651904,0.45766666666666667,0.5398333333333334,0.44833390295474146
Few-shot,0.5069864636595559,0.40694444444444444,0.5032186948853615,0.4103958652195154
Zero-shot,0.5020693362906619,0.41040564373897703,0.5080026455026455,0.41256958436652225
OG-RAG,0.4974025248535053,0.39510582010582007,0.5025132275132275,0.40523473574137925
Novel Pipeline,0.48994213568991374,0.3950396825396825,0.49369488536155204,0.4008235759992664
CoT,0.4804257622228775,0.38809523809523805,0.4702821869488536,0.382868308311939
Qwen3-Embedding,0.3678026838936185,0.27687389770723103,0.3618386243386243,0.2826398657915616
Hierarchy (specificity),0.3668535174730653,0.2752204585537919,0.36073633156966495,0.28164553640921053
Sentence-BERT,0.3202605561057985,0.23035714285714282,0.3146164021164021,0.23442210515453768
TF-IDF,0.31821398495270503,0.2208994708994709,0.2893959435626103,0.22338423853814438
BM25,0.27999653164556826,0.18031305114638446,0.2367063492063492,0.1927464296423073
